gmDate,seasonYR,teamAbbr,teamLoc,teamRslt,teamDayOff,teamTO,teamPF,teamFGA,teamFGM,teamFTA,teamFTM,teamORB,teamDRB,teamEFG%,teamTREB%,teamTO%,teamFT%
2012-11-27,2012,LAL,1,0,3,21,25,76,24,43,23,15,41,35.53,52.8302,18.1159,53.49
2012-11-28,2012,SA,0,1,2,16,8,84,44,15,11,8,31,58.93,45.8824,15.0094,73.33
2012-11-28,2012,ORL,1,0,3,17,14,95,41,8,5,18,28,44.21,54.1176,14.7161,62.5
2012-11-28,2012,POR,0,0,2,11,20,86,30,18,12,18,27,40.7,51.7241,10.4842,66.67
2012-11-28,2012,WAS,1,1,2,17,19,71,31,19,17,8,34,47.18,48.2759,17.6422,89.47
2012-11-28,2012,CHA,0,0,2,17,21,76,30,23,19,9,36,47.37,50.5618,16.4856,82.61
2012-11-28,2012,ATL,1,1,4,9,18,90,36,15,10,15,29,46.67,49.4382,8.5227,66.67
2012-11-28,2012,BKN,0,1,2,16,24,82,33,29,19,17,33,46.34,55.5556,14.4456,65.52
2012-11-28,2012,BOS,1,0,3,17,24,75,32,24,18,8,32,43.33,44.4444,16.5757,75.0
2012-11-28,2012,PHO,0,0,1,19,23,82,28,20,15,13,26,37.8,47.56100000000001,17.3042,75.0
2012-11-28,2012,DET,1,1,2,12,19,76,40,35,25,8,35,60.53,52.43899999999999,11.6054,71.43
2012-11-28,2012,UTA,0,1,2,16,25,63,31,38,28,6,33,53.97,50.6494,16.7154,73.68
2012-11-28,2012,NO,1,0,2,19,27,73,31,21,17,12,26,45.89,49.3506,18.7673,80.95
2012-11-28,2012,NY,0,1,2,15,20,73,35,25,21,8,30,55.48,51.3514,15.1515,84.0
2012-11-28,2012,MIL,1,0,2,18,20,72,33,21,17,5,31,49.31,48.6486,18.1378,80.95
2012-11-28,2012,DAL,0,0,1,14,26,81,28,20,18,11,19,37.04,40.5405,13.4875,90.0
2012-11-28,2012,CHI,1,1,2,21,19,69,34,33,27,10,34,53.62,59.4595,20.0918,81.82
2012-11-28,2012,TOR,0,0,1,17,29,74,29,24,19,7,26,42.57,41.7722,16.7389,79.17
2012-11-28,2012,MEM,1,1,2,13,19,80,38,28,19,12,34,52.5,58.2278,12.3433,67.86
2012-11-28,2012,HOU,0,0,1,16,16,87,36,30,18,16,22,45.98,45.2381,13.7694,60.0
2012-11-28,2012,OKC,1,1,2,16,22,87,47,22,17,15,31,59.2,54.7619,14.1995,77.27
2012-11-28,2012,MIN,0,0,1,19,25,82,31,35,27,21,31,41.46,59.7701,16.323,77.14
2012-11-28,2012,LAC,1,1,2,10,25,81,37,26,23,11,24,48.15,40.2299,9.7618,88.46
